TxnID,TxnDate,UserID,StateCode,AppID,Amount,Status,FailReason,BankID,TxnType,Channel,DeviceOS,SettlementDelayHours,SettlementStatus,PendingTxns,FrozenFunds
828250,2025-12-07,U0277412,sikkim,amazon_pay,145,Success,,486,P2P,App,Android,0.13,Settled,0,0
828251,2025-12-08,U0133557,uttar_pradesh,phonepe,460,Success,,388,Recharge,Web,Android,0.92,Settled,0,0
828252,2025-12-09,U0428916,kerala,bhim,247,Success,,519,Bill,App,Android,2.21,Settled,0,0
828253,2025-12-03,U0384356,andhra_pradesh,amazon_pay,204,Success,,222,P2P,Web,Android,0.99,Settled,0,0
828254,2025-12-17,U0065927,andhra_pradesh,google_pay,107,Success,,316,P2M,App,Android,1.52,Settled,0,0
828255,2025-12-25,U0344996,west_bengal,google_pay,2259,Success,,152,P2P,App,iOS,0.84,Settled,0,0
828256,2025-12-10,U0182442,odisha,google_pay,329,Success,,176,P2M,App,iOS,0.0,Settled,0,0
828257,2025-12-28,U0409008,sikkim,amazon_pay,45,Success,,755,P2P,App,Android,3.35,Settled,0,0
828258,2025-12-04,U0322243,jharkhand,google_pay,344,Success,,165,P2P,App,Android,0.55,Settled,0,0
828259,2025-12-01,U0045947,jammu_kashmir,google_pay,314,Success,,667,Recharge,App,Android,1.31,Settled,0,0
828260,2025-12-14,U0469969,arunachal_pradesh,google_pay,523,Success,,958,Recharge,Web,Android,0.63,Settled,0,0
828261,2025-12-04,U0344662,delhi,google_pay,404,Success,,383,Bill,App,Android,0.43,Settled,0,0
828262,2025-12-14,U0475403,jharkhand,phonepe,150,Success,,350,Bill,App,Android,1.05,Settled,0,0
828263,2025-12-24,U0143533,arunachal_pradesh,phonepe,92,Success,,349,P2P,App,Android,0.11,Settled,0,0
828264,2025-12-24,U0396552,west_bengal,google_pay,795,Success,,613,P2P,App,Android,0.82,Settled,0,0
828265,2025-12-26,U0460806,gujarat,phonepe,316,Success,,460,Recharge,App,iOS,0.46,Settled,0,0
828266,2025-12-02,U0214475,mizoram,phonepe,1721,Success,,524,P2M,App,Android,3.51,Settled,0,0
828267,2025-12-06,U0192528,odisha,google_pay,1224,Success,,314,Bill,App,Android,2.53,Settled,0,0
828268,2025-12-29,U0105218,telangana,google_pay,322,Success,,700,Recharge,App,Android,2.13,Settled,0,0
828269,2025-12-08,U0194374,assam,phonepe,1839,Success,,777,P2P,App,iOS,0.45,Settled,0,0
828270,2025-12-08,U0223837,punjab,google_pay,1047,Success,,804,P2M,Web,Android,0.02,Settled,0,0
828271,2025-12-23,U0181969,uttar_pradesh,paytm,99,Success,,925,Recharge,Web,iOS,1.18,Settled,0,0
828272,2025-12-17,U0083628,goa,google_pay,911,Success,,967,Recharge,Web,Android,0.84,Settled,0,0
