TxnID,TxnDate,UserID,StateCode,AppID,Amount,Status,FailReason,BankID,TxnType,Channel,DeviceOS,SettlementDelayHours,SettlementStatus,PendingTxns,FrozenFunds
278699,2019-03-21,U0198285,sikkim,phonepe,534,Success,,481,P2M,App,Android,3.13,Settled,0,0
278700,2019-03-09,U0221872,karnataka,phonepe,1210,Success,,265,P2M,App,Android,0.46,Settled,0,0
278701,2019-03-31,U0349351,jharkhand,google_pay,78,Success,,803,Recharge,App,Android,1.96,Settled,0,0
278702,2019-03-07,U0144154,manipur,phonepe,294,Success,,813,Recharge,App,Android,0.67,Settled,0,0
278703,2019-03-30,U0473291,tamil_nadu,paytm,325,Success,,974,Bill,App,Android,0.79,Settled,0,0
278704,2019-03-29,U0275821,gujarat,phonepe,5638,Success,,329,Recharge,App,Android,2.43,Settled,0,0
278705,2019-03-31,U0380998,goa,phonepe,33,Success,,864,P2P,App,Android,1.48,Settled,0,0
278706,2019-03-14,U0476575,kerala,google_pay,336,Success,,385,P2P,App,Android,1.57,Settled,0,0
278707,2019-03-26,U0229481,mizoram,google_pay,3119,Success,,247,Bill,App,Android,0.51,Settled,0,0
278708,2019-03-30,U0159606,west_bengal,paytm,130,Success,,377,P2M,App,iOS,1.71,Settled,0,0
278709,2019-03-31,U0420993,karnataka,bhim,98,Success,,637,Bill,App,Android,1.44,Settled,0,0
278710,2019-03-09,U0318476,telangana,phonepe,158,Pending,Network Error,834,Bill,App,Android,,Pending,1,2
278711,2019-03-22,U0270577,meghalaya,google_pay,183,Success,,558,Recharge,App,Android,1.62,Settled,0,0
278712,2019-03-19,U0014017,tamil_nadu,amazon_pay,209,Success,,307,Bill,Web,iOS,1.61,Settled,0,0
278713,2019-03-30,U0046118,karnataka,phonepe,672,Success,,130,Recharge,App,iOS,3.91,Settled,0,0
278714,2019-03-27,U0255918,goa,google_pay,1485,Success,,439,Recharge,App,Android,0.84,Settled,0,0
278715,2019-03-22,U0061550,telangana,bhim,307,Success,,142,P2M,App,Android,2.53,Settled,0,0
278716,2019-03-05,U0180834,punjab,paytm,84,Success,,112,Bill,App,Android,0.54,Settled,0,0
278717,2019-03-18,U0130119,bihar,amazon_pay,2304,Success,,645,Recharge,App,Android,1.47,Settled,0,0
278718,2019-03-11,U0138347,karnataka,paytm,584,Success,,854,P2P,App,Android,0.94,Settled,0,0
278719,2019-03-31,U0155356,bihar,phonepe,111,Success,,188,P2P,App,Android,1.0,Settled,0,0
278720,2019-03-10,U0178558,chandigarh,google_pay,182,Success,,658,Recharge,App,iOS,2.65,Settled,0,0
278721,2019-03-17,U0311764,uttar_pradesh,google_pay,796,Success,,426,P2M,App,Android,1.18,Settled,0,0
278722,2019-03-02,U0350931,madhya_pradesh,amazon_pay,1358,Success,,364,P2P,Web,iOS,3.94,Settled,0,0
278723,2019-03-03,U0052604,west_bengal,amazon_pay,520,Success,,116,P2M,App,Android,1.03,Settled,0,0
278724,2019-03-15,U0348956,mizoram,google_pay,27,Success,,582,Bill,App,Android,1.19,Settled,0,0
278725,2019-03-21,U0327005,chandigarh,amazon_pay,562,Success,,319,P2P,App,iOS,2.84,Settled,0,0
278726,2019-03-24,U0206868,west_bengal,paytm,702,Success,,176,Recharge,App,iOS,4.67,Settled,0,0
278727,2019-03-02,U0029933,kerala,google_pay,2304,Success,,334,P2P,Web,Android,4.09,Settled,0,0
278728,2019-03-01,U0257012,tamil_nadu,google_pay,771,Success,,699,Recharge,App,Android,0.05,Settled,0,0
278729,2019-03-27,U0060959,arunachal_pradesh,amazon_pay,442,Success,,152,P2M,App,Android,0.81,Settled,0,0
278730,2019-03-27,U0499470,rajasthan,bhim,225,Failed,Server Downtime,498,Bill,App,iOS,,Pending,0,0
278731,2019-03-15,U0491153,rajasthan,phonepe,309,Success,,888,Bill,App,iOS,4.27,Settled,0,0
278732,2019-03-23,U0149209,arunachal_pradesh,google_pay,235,Success,,706,P2M,App,Android,1.5,Settled,0,0
278733,2019-03-29,U0004718,punjab,paytm,186,Success,,873,P2P,App,Android,0.41,Settled,0,0
278734,2019-03-12,U0219453,rajasthan,amazon_pay,221,Success,,749,Recharge,App,Android,1.46,Settled,0,0
278735,2019-03-23,U0445133,delhi,paytm,78,Failed,Invalid VPA,512,P2P,App,Android,,Pending,0,1
278736,2019-03-11,U0152354,chandigarh,google_pay,1140,Success,,775,Recharge,App,iOS,0.67,Settled,0,0
278737,2019-03-12,U0186838,rajasthan,phonepe,268,Success,,190,Recharge,App,Android,0.55,Settled,0,0
278738,2019-03-14,U0398128,goa,google_pay,250,Success,,439,Bill,App,Other,0.85,Settled,0,0
278739,2019-03-27,U0320219,madhya_pradesh,google_pay,279,Success,,802,Bill,App,Android,4.03,Settled,0,0
278740,2019-03-14,U0422147,delhi,google_pay,332,Success,,828,Bill,Web,iOS,2.91,Settled,0,0
278741,2019-03-31,U0471310,tamil_nadu,google_pay,449,Success,,690,P2P,App,Android,1.44,Settled,0,0
278742,2019-03-30,U0254538,tamil_nadu,phonepe,229,Success,,502,Recharge,App,iOS,1.35,Settled,0,0
278743,2019-03-03,U0114662,punjab,phonepe,1180,Success,,337,P2M,App,Android,0.45,Settled,0,0
278744,2019-03-03,U0306308,jharkhand,phonepe,411,Pending,Network Error,510,Recharge,App,Android,,Pending,1,1
278745,2019-03-05,U0008775,uttar_pradesh,bhim,137,Failed,Insufficient Balance,394,Recharge,App,Android,,Pending,0,1
278746,2019-03-30,U0010673,tripura,supermoney,151,Success,,218,P2P,App,Android,0.81,Settled,0,0
278747,2019-03-07,U0048594,telangana,google_pay,564,Success,,312,Recharge,App,Android,1.29,Settled,0,0
278748,2019-03-10,U0359461,nagaland,phonepe,206,Success,,617,P2P,App,iOS,5.27,Settled,0,0
278749,2019-03-22,U0153721,delhi,amazon_pay,1655,Failed,Insufficient Balance,952,Recharge,Web,Android,,Pending,0,0
278750,2019-03-08,U0094822,kerala,google_pay,366,Success,,850,P2P,App,Android,0.11,Settled,0,0
278751,2019-03-14,U0238594,rajasthan,phonepe,103,Success,,699,Bill,Web,Android,3.02,Settled,0,0
278752,2019-03-31,U0307563,karnataka,paytm,605,Success,,985,P2P,App,Android,1.56,Settled,0,0
278753,2019-03-02,U0014209,uttar_pradesh,phonepe,446,Success,,279,P2M,App,Android,1.92,Settled,0,0
278754,2019-03-17,U0349009,tamil_nadu,phonepe,132,Pending,Network Error,584,P2M,App,iOS,,Pending,1,2
278755,2019-03-19,U0417700,west_bengal,google_pay,296,Success,,538,Bill,App,Android,2.19,Settled,0,0
278756,2019-03-02,U0317229,madhya_pradesh,google_pay,100,Success,,392,Bill,App,Android,5.89,Settled,0,0
278757,2019-03-07,U0437673,chhattisgarh,phonepe,855,Success,,962,Bill,App,Android,0.56,Settled,0,0
278758,2019-03-09,U0326071,gujarat,phonepe,223,Success,,365,Recharge,Web,Android,3.59,Settled,0,0
278759,2019-03-11,U0353696,punjab,phonepe,351,Success,,374,Bill,App,Android,0.01,Settled,0,0
278760,2019-03-17,U0341724,karnataka,amazon_pay,304,Success,,195,P2M,App,Android,3.48,Settled,0,0
278761,2019-03-21,U0446808,kerala,google_pay,240,Success,,788,Bill,App,Android,0.54,Settled,0,0
278762,2019-03-10,U0166765,arunachal_pradesh,google_pay,478,Success,,384,Bill,App,Android,0.79,Settled,0,0
278763,2019-03-06,U0321103,karnataka,phonepe,4903,Success,,126,Bill,App,Android,7.48,Settled,0,0
278764,2019-03-20,U0341335,chandigarh,paytm,552,Failed,Server Downtime,854,P2P,Web,Android,,Pending,0,0
278765,2019-03-10,U0337315,nagaland,supermoney,448,Success,,416,Recharge,App,Android,2.11,Settled,0,0
278766,2019-03-02,U0223402,nagaland,amazon_pay,106,Failed,Insufficient Balance,121,P2P,Web,Android,,Pending,0,1
