TxnID,TxnDate,UserID,StateCode,AppID,Amount,Status,FailReason,BankID,TxnType,Channel,DeviceOS,SettlementDelayHours,SettlementStatus,PendingTxns,FrozenFunds
13911,2015-04-13,U0226013,punjab,paytm,217,Success,,540,Bill,App,iOS,1.29,Settled,0,0
13912,2015-04-19,U0465883,uttarakhand,google_pay,212,Success,,943,P2M,App,Android,1.08,Settled,0,0
13913,2015-04-25,U0090523,gujarat,bhim,385,Success,,721,Bill,App,Android,4.11,Settled,0,0
13914,2015-04-29,U0157104,haryana,google_pay,1011,Success,,202,P2M,App,Other,0.04,Settled,0,0
13915,2015-04-07,U0424617,haryana,google_pay,679,Success,,213,P2P,App,Android,0.84,Settled,0,0
13916,2015-04-25,U0394537,bihar,google_pay,2623,Failed,Insufficient Balance,546,Bill,App,Android,,Pending,0,0
13917,2015-04-09,U0011641,jammu_kashmir,phonepe,321,Success,,172,Recharge,App,Android,1.12,Settled,0,0
13918,2015-04-25,U0272301,karnataka,supermoney,260,Success,,929,Recharge,App,Android,1.47,Settled,0,0
13919,2015-04-23,U0161189,west_bengal,phonepe,2616,Success,,750,Recharge,App,Android,1.72,Settled,0,0
13920,2015-04-04,U0183215,sikkim,phonepe,526,Success,,408,P2P,App,Android,0.39,Settled,0,0
13921,2015-04-05,U0232800,andhra_pradesh,paytm,138,Success,,892,Recharge,Web,Android,2.39,Settled,0,0
13922,2015-04-14,U0035556,kerala,google_pay,403,Success,,523,Recharge,App,Android,1.17,Settled,0,0
13923,2015-04-22,U0325923,karnataka,google_pay,293,Success,,916,P2P,App,Android,1.39,Settled,0,0
13924,2015-04-12,U0280979,gujarat,supermoney,534,Success,,890,P2M,App,Android,0.92,Settled,0,0
13925,2015-04-16,U0197225,kerala,supermoney,17,Success,,786,Recharge,App,iOS,3.71,Settled,0,0
13926,2015-04-10,U0200796,telangana,phonepe,141,Success,,223,P2P,App,Android,0.52,Settled,0,0
13927,2015-04-28,U0252935,jharkhand,phonepe,115,Success,,244,P2P,App,Android,3.91,Settled,0,0
13928,2015-04-10,U0381870,arunachal_pradesh,bhim,401,Success,,596,P2P,App,Android,1.8,Settled,0,0
13929,2015-04-13,U0425649,tamil_nadu,supermoney,704,Success,,433,Bill,Web,Android,2.55,Settled,0,0
13930,2015-04-27,U0451688,karnataka,phonepe,157,Success,,901,P2M,App,Android,1.48,Settled,0,0
13931,2015-04-29,U0129138,telangana,supermoney,151,Success,,357,Bill,App,Android,0.54,Settled,0,0
13932,2015-04-16,U0437656,uttar_pradesh,phonepe,157,Pending,Insufficient Balance,753,P2P,App,Android,,Pending,1,1
13933,2015-04-08,U0297821,west_bengal,paytm,71,Success,,632,P2M,App,Android,2.14,Settled,0,0
13934,2015-04-02,U0196878,kerala,phonepe,192,Success,,720,Recharge,App,Android,0.95,Settled,0,0
13935,2015-04-07,U0100251,west_bengal,phonepe,612,Success,,295,Bill,App,iOS,1.76,Settled,0,0
13936,2015-04-05,U0346104,uttar_pradesh,google_pay,516,Success,,867,Bill,App,Android,0.36,Settled,0,0
13937,2015-04-21,U0009187,meghalaya,paytm,338,Success,,275,Recharge,App,Android,0.07,Settled,0,0
13938,2015-04-07,U0085368,kerala,amazon_pay,153,Success,,102,Bill,Web,iOS,1.51,Settled,0,0
13939,2015-04-28,U0248550,rajasthan,amazon_pay,1826,Success,,891,Recharge,App,Android,3.11,Settled,0,0
13940,2015-04-01,U0183861,west_bengal,google_pay,724,Success,,521,Bill,App,iOS,2.16,Settled,0,0
